SimTime,SPAD_tester.Anode,SPAD_tester.OUT,SPAD_tester.OUT_$flow,SPAD_tester.VOP,SPAD_tester.VPHOTON,SPAD_tester.net018
4.39769E-09,0.867827495,0.000166567,0,31.2,0,0
4.51299E-09,0.840680783,0.000400886,0,31.2,0,0
4.74361E-09,0.78887046,0.001562001,0,31.2,0,0
5.20484E-09,0.694476304,0.011895588,0,31.2,0,0
5.43545E-09,0.651633955,0.026920465,0,31.2,0,0
5.89668E-09,0.573849037,0.174038035,0,31.2,0,0
6.34607E-09,0.507645445,0.726877042,0,31.2,0,0
6.43381E-09,0.495696865,0.854337616,0,31.2,0,0
6.6093E-09,0.472474151,1.020872135,0,31.2,0,0
6.80374E-09,0.4478776,1.117674416,0,31.2,0,0
7.05487E-09,0.417816981,1.154944327,0,31.2,0,0
7.37964E-09,0.381835145,1.177648449,0,31.2,0,0
7.68527E-09,0.350768847,1.187089757,0,31.2,0,0
8.29652E-09,0.295864883,1.196281546,0,31.2,0,0
9.17084E-09,0.231702195,1.198961619,0,31.2,0,0
1.01354E-08,0.176826947,1.199992369,0,31.2,0,0
1.11E-08,0.134915969,1.19975231,0,31.2,0,0
1.12E-08,0.131256319,1.199930629,0,31.2,0,0
1.14E-08,0.124322202,1.199944096,0,31.2,0,0
1.15E-08,0.120948942,1.199947934,0,31.2,0,0
1.17E-08,0.114558391,1.199954709,0,31.2,0,0
1.1962E-08,0.106480121,1.19996192,0,31.2,0,0
1.24861E-08,0.091971913,1.199971862,0,31.2,0,0
1.24941E-08,0.091766068,1.19997199,0,31.2,0,0
1.25102E-08,0.091355758,1.199972223,0,31.2,0,0
1.25423E-08,0.09054062,1.199972689,0,31.2,0,0
1.26065E-08,0.088932038,1.19997358,0,31.2,0,0
1.2735E-08,0.085799739,1.199975235,0,31.2,0,0
1.28675E-08,0.082684891,1.199976774,0,31.2,0,0
1.28758E-08,0.082494028,1.199976867,0,31.2,0,0
1.28923E-08,0.08211362,1.199977048,0,31.2,0,0
1.29255E-08,0.081358047,1.199977403,0,31.2,0,0
1.29627E-08,0.080516323,1.199977793,0,31.2,0,0
